       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 801 1802] | [ 841 1802] | [ 806 1843] | [ 847 1842]
         1 | [ 750 1802] | [ 791 1801] | [ 754 1842] | [ 795 1842]
         2 | [ 701 1799] | [ 742 1802] | [ 702 1840] | [ 743 1842]
         5 | [ 550 1797] | [ 590 1798] | [ 548 1838] | [ 590 1839]
         6 | [ 498 1797] | [ 540 1799] | [ 497 1838] | [ 538 1839]
         7 | [ 448 1796] | [ 489 1797] | [ 446 1837] | [ 487 1838]
         - | [ 245 1793] | [ 287 1795] | [ 240 1834] | [ 282 1835]
         = | [ 195 1792] | [ 235 1793] | [ 188 1833] | [ 229 1835]
    DELETE | [ 117 1793] | [ 184 1792] | [ 112 1834] | [ 179 1833]
       TAB | [ 772 1752] | [ 836 1753] | [ 775 1792] | [ 841 1792]
         0 | [ 295 1794] | [ 337 1795] | [ 291 1834] | [ 333 1836]
         Y | [ 474 1748] | [ 514 1748] | [ 474 1788] | [ 515 1787]
         Q | [ 722 1752] | [ 762 1752] | [ 725 1791] | [ 766 1791]
         3 | [ 650 1798] | [ 692 1801] | [ 651 1840] | [ 692 1841]
         4 | [ 600 1798] | [ 642 1800] | [ 599 1838] | [ 641 1840]
         8 | [ 397 1795] | [ 438 1796] | [ 394 1836] | [ 436 1837]
         U | [ 426 1746] | [ 466 1749] | [ 423 1787] | [ 464 1787]
    RETURN | [ 133 1697] | [ 210 1696] | [ 129 1734] | [ 207 1734]
         H | [ 463 1702] | [ 502 1701] | [ 462 1739] | [ 503 1739]
         T | [ 526 1748] | [ 570 1752] | [ 523 1786] | [ 563 1789]
         9 | [ 346 1794] | [ 388 1796] | [ 343 1836] | [ 385 1836]
         B | [ 488 1658] | [ 528 1657] | [ 488 1693] | [ 528 1693]
         G | [ 512 1702] | [ 552 1702] | [ 512 1740] | [ 553 1739]
         J | [ 416 1699] | [ 456 1700] | [ 414 1738] | [ 453 1739]
         R | [ 574 1748] | [ 616 1751] | [ 573 1787] | [ 615 1790]
         ] | [ 176 1749] | [ 217 1751] | [ 170 1789] | [ 210 1790]
         I | [ 371 1746] | [ 411 1751] | [ 367 1789] | [ 408 1791]
         [ | [ 226 1749] | [ 267 1750] | [ 221 1789] | [ 261 1790]
         \ | [ 127 1750] | [ 168 1751] | [ 121 1789] | [ 161 1790]
         P | [ 276 1749] | [ 318 1752] | [ 271 1788] | [ 313 1790]
         E | [ 622 1751] | [ 666 1750] | [ 624 1789] | [ 665 1790]
         ' | [ 220 1699] | [ 260 1700] | [ 215 1737] | [ 255 1739]
 CAPS_LOCK | [ 754 1700] | [ 830 1700] | [ 761 1738] | [ 835 1738]
         O | [ 326 1748] | [ 366 1750] | [ 321 1788] | [ 362 1790]
     SHFT2 | [ 141 1657] | [ 240 1655] | [ 138 1691] | [ 239 1692]
         ; | [ 269 1698] | [ 309 1701] | [ 263 1735] | [ 304 1738]
         W | [ 673 1748] | [ 713 1751] | [ 673 1788] | [ 713 1790]
         F | [ 561 1698] | [ 601 1700] | [ 560 1737] | [ 600 1739]
         K | [ 363 1699] | [ 403 1700] | [ 359 1737] | [ 400 1739]
         N | [ 442 1655] | [ 481 1656] | [ 440 1692] | [ 481 1691]
         M | [ 392 1653] | [ 431 1656] | [ 387 1691] | [ 428 1692]
         / | [ 250 1654] | [ 289 1656] | [ 245 1692] | [ 285 1693]
         L | [ 316 1698] | [ 356 1700] | [ 312 1737] | [ 352 1738]
         V | [ 537 1654] | [ 576 1655] | [ 537 1692] | [ 577 1691]
    ARROWS | [ 199 1601] | [ 237 1604] | [ 192 1644] | [ 232 1644]
         A | [ 708 1699] | [ 749 1700] | [ 712 1738] | [ 752 1737]
         D | [ 605 1700] | [ 647 1700] | [ 608 1738] | [ 648 1738]
         C | [ 585 1655] | [ 625 1655] | [ 587 1693] | [ 626 1693]
         , | [ 344 1654] | [ 382 1656] | [ 339 1691] | [ 379 1693]
         . | [ 296 1653] | [ 335 1656] | [ 291 1691] | [ 331 1692]
      CMD2 | [ 337 1602] | [ 389 1601] | [ 335 1642] | [ 387 1643]
      ALT2 | [ 290 1601] | [ 329 1602] | [ 285 1642] | [ 325 1644]
         S | [ 657 1699] | [ 697 1699] | [ 659 1737] | [ 700 1737]
     SHFT1 | [ 727 1655] | [ 824 1656] | [ 732 1692] | [ 830 1692]
         Z | [ 681 1655] | [ 722 1655] | [ 685 1692] | [ 724 1692]
         X | [ 629 1655] | [ 668 1655] | [ 632 1693] | [ 671 1692]
     SPACE | [ 394 1605] | [ 617 1600] | [ 396 1640] | [ 624 1644]
        FN | [ 782 1615] | [ 820 1616] | [ 787 1657] | [ 825 1657]
      CTRL | [ 737 1602] | [ 776 1602] | [ 742 1643] | [ 780 1643]
      ALT1 | [ 691 1601] | [ 731 1603] | [ 693 1642] | [ 732 1644]
      CMD1 | [ 626 1602] | [ 679 1602] | [ 630 1643] | [ 681 1643]
